filename,intervention_screening,intervention_1_month,intervention_3_months,intervention_6_months,intervention_9_months,intervention_12_months,intervention_intensity,intervention_cycle_length,control_screening,control_1_month,control_3_months,control_6_months,control_9_months,control_12_months,control_intensity,control_cycle_length,delta_screening,delta_1_month,delta_3_months,delta_6_months,delta_9_months,delta_12_months,delta_intensity,pmid,publication_year
PMID 24898665 CT_Summary_SoE.pdf,2.0,7.0,15.0,16.0,17.0,19.0,1.5833333333333333,14.0,1.0,5.0,13.0,14.0,15.0,17.0,1.4166666666666667,7.0,1.0,2.0,2.0,2.0,2.0,2.0,0.16666666666666652,24898665.0,2015.0
PMID 24933332 a_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24933332.0,2014.0
PMID 24934787 a_Summary_SoE.pdf,2.0,3.0,5.0,6.0,6.0,7.0,0.5833333333333334,14.0,2.0,3.0,5.0,6.0,6.0,7.0,0.5833333333333334,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24934787.0,2014.0
PMID 24982457 a_Summary_SoE.pdf,1.0,2.0,3.0,4.0,4.0,5.0,0.4166666666666667,0.0,1.0,1.0,2.0,3.0,3.0,4.0,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333337,24982457.0,2014.0
PMID 24982504 CT_Summary_SoE.pdf,2.0,20.0,28.0,32.0,33.0,34.0,2.8333333333333335,0.0,2.0,20.0,28.0,32.0,33.0,34.0,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24982504.0,2014.0
PMID 25014687 a_Summary_SoE.pdf,3.0,4.0,6.0,11.0,14.0,18.0,1.5,28.0,3.0,4.0,6.0,11.0,14.0,18.0,1.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25014687.0,2014.0
PMID 25092781 a_Summary_SoE.pdf,2.0,12.0,26.0,41.0,44.0,47.0,3.9166666666666665,30.0,2.0,12.0,26.0,40.0,43.0,46.0,3.8333333333333335,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.08333333333333304,25092781.0,2014.0
PMID 25154829 a_Summary_SoE.pdf,2.0,4.0,4.0,5.0,6.0,8.0,0.6666666666666666,91.0,2.0,4.0,4.0,5.0,6.0,8.0,0.6666666666666666,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25154829.0,2014.0
PMID 25184863 a_Summary_SoE.pdf,1.0,5.0,11.0,14.0,17.0,21.0,1.75,28.0,1.0,5.0,13.0,17.0,19.0,21.0,1.75,42.0,0.0,0.0,-2.0,-3.0,-2.0,0.0,0.0,25184863.0,2014.0
PMID 25225436 a_Summary_SoE.pdf,1.0,4.0,7.0,7.0,8.0,10.0,0.8333333333333334,28.0,1.0,4.0,7.0,7.0,8.0,10.0,0.8333333333333334,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25225436.0,2014.0
PMID 25265494 a_Summary_SoE.pdf,2.0,3.0,7.0,11.0,15.0,20.0,1.6666666666666667,28.0,2.0,3.0,7.0,11.0,15.0,20.0,1.6666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25265494.0,2014.0
PMID 25267740 a_Summary_SoE.pdf,2.0,4.0,7.0,7.0,8.0,9.0,0.75,21.0,2.0,4.0,6.0,7.0,8.0,9.0,0.75,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25267740.0,2014.0
PMID 25311218 a_Summary_SoE.pdf,2.0,8.0,20.0,22.0,23.0,24.0,2.0,21.0,2.0,8.0,20.0,35.0,36.0,37.0,3.0833333333333335,21.0,0.0,0.0,0.0,-13.0,-13.0,-13.0,-1.0833333333333335,25311218.0,2014.0
PMID 25332243 a_Summary_SoE.pdf,2.0,24.0,46.0,47.0,48.0,49.0,4.083333333333333,21.0,1.0,21.0,25.0,26.0,27.0,29.0,2.4166666666666665,28.0,1.0,3.0,21.0,21.0,21.0,20.0,1.6666666666666665,25332243.0,2014.0
PMID 25348000 a_Summary_SoE.pdf,2.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,2.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25348000.0,2014.0
PMID 25354103 a_Summary_SoE.pdf,2.0,30.0,45.0,48.0,49.0,49.0,4.083333333333333,,2.0,30.0,45.0,48.0,49.0,49.0,4.083333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25354103.0,2014.0
PMID 25366680 a_Summary_SoE.pdf,2.0,22.0,32.0,33.0,34.0,35.0,2.9166666666666665,7.0,2.0,22.0,36.0,38.0,39.0,40.0,3.3333333333333335,7.0,0.0,0.0,-4.0,-5.0,-5.0,-5.0,-0.41666666666666696,25366680.0,2014.0
PMID 25399551 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25399551.0,2015.0
PMID 25399552 a_Summary_SoE.pdf,2.0,4.0,9.0,17.0,26.0,36.0,3.0,42.0,2.0,4.0,9.0,17.0,26.0,36.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25399552.0,2015.0
PMID 25422488 a_Summary_SoE.pdf,2.0,6.0,14.0,21.0,21.0,22.0,1.8333333333333333,14.0,,,,,,,,,,,,,,,,25422488.0,2015.0
PMID 25470694 a_Summary_SoE.pdf,1.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,1.0,3.0,6.0,9.0,11.0,13.0,1.0833333333333333,21.0,0.0,0.0,0.0,1.0,3.0,6.0,0.5,25470694.0,2014.0
PMID 25482145 a_Summary_SoE.pdf,2.0,8.0,20.0,40.0,60.0,77.0,6.416666666666667,28.0,2.0,3.0,7.0,13.0,20.0,26.0,2.1666666666666665,28.0,0.0,5.0,13.0,27.0,40.0,51.0,4.25,25482145.0,2015.0
PMID 25495490 a_Summary_SoE.pdf,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,1.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,90.0,0.0,1.0,2.0,4.0,6.0,9.0,0.75,25495490.0,2015.0
PMID 25547503 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,42.0,1.0,2.0,5.0,9.0,13.0,18.0,1.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25547503.0,2015.0
PMID 25605862 a_Summary_SoE.pdf,1.0,5.0,12.0,23.0,33.0,45.0,3.75,21.0,1.0,5.0,12.0,23.0,33.0,45.0,3.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25605862.0,2015.0
PMID 25629741 a_Summary_SoE.pdf,3.0,3.0,7.0,10.0,12.0,14.0,1.1666666666666667,28.0,3.0,3.0,7.0,10.0,12.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25629741.0,2015.0
PMID 25671254 a_Summary_SoE.pdf,2.0,3.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,2.0,3.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25671254.0,2015.0
PMID 25682602 a_Summary_SoE.pdf,1.0,4.0,12.0,14.0,14.0,15.0,1.25,7.0,1.0,4.0,12.0,14.0,14.0,14.5,1.2083333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04166666666666674,25682602.0,2015.0
PMID 25713428 a_Summary_SoE.pdf,2.0,7.0,16.0,32.0,46.0,62.0,5.166666666666667,21.0,2.0,7.0,16.0,32.0,46.0,62.0,5.166666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25713428.0,2015.0
PMID 25738668 a_Summary_SoE.pdf,2.0,3.0,7.0,8.0,8.0,9.0,0.75,21.0,1.0,2.0,5.0,7.0,7.0,8.0,0.6666666666666666,21.0,1.0,1.0,2.0,1.0,1.0,1.0,0.08333333333333337,25738668.0,2015.0
PMID 25738670 a_Summary_SoE.pdf,2.0,7.0,20.0,27.0,29.0,31.0,2.5833333333333335,21.0,2.0,3.0,9.0,12.0,14.0,16.0,1.3333333333333333,21.0,0.0,4.0,11.0,15.0,15.0,15.0,1.2500000000000002,25738670.0,2015.0
PMID 25779558 a_Summary_SoE.pdf,2.0,6.0,12.0,20.0,21.0,22.0,1.8333333333333333,28.0,2.0,7.0,15.0,26.0,30.0,35.0,2.9166666666666665,28.0,0.0,-1.0,-3.0,-6.0,-9.0,-13.0,-1.0833333333333333,25779558.0,2015.0
PMID 25891173 a_Summary_SoE.pdf,1.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333326,25891173.0,2015.0
PMID 25897156 a_Summary_SoE.pdf,2.0,0.0,1.0,2.0,2.0,2.0,0.16666666666666666,0.0,2.0,0.0,1.0,2.0,2.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25897156.0,2015.0
PMID 25940724 a_Summary_SoE.pdf,1.0,1.0,3.0,4.0,4.0,4.0,0.3333333333333333,0.0,1.0,1.0,3.0,4.0,4.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25940724.0,2015.0
PMID 25970050 a_Summary_SoE.pdf,2.0,4.0,8.0,14.0,21.0,28.0,2.3333333333333335,28.0,2.0,4.0,8.0,14.0,21.0,28.0,2.3333333333333335,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25970050.0,2015.0
PMID 26014293 a_Summary_SoE.pdf,1.0,2.0,6.0,13.0,19.0,26.0,2.1666666666666665,28.0,1.0,3.0,7.0,13.0,20.0,27.0,2.25,28.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.08333333333333348,26014293.0,2015.0
PMID 26027431 a_Summary_SoE.pdf,2.0,4.0,10.0,18.0,27.0,36.0,3.0,42.0,2.0,4.0,10.0,18.0,27.0,36.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26027431.0,2015.0
PMID 26028407 a_Summary_SoE.pdf,1.0,4.0,9.0,17.0,26.0,36.0,3.0,14.0,1.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,0.0,1.0,3.0,7.0,12.0,17.0,1.4166666666666667,26028407.0,2015.0
PMID 26030518 a_Summary_SoE.pdf,1.0,3.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,1.0,3.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26030518.0,2015.0
PMID 26035255 a_Summary_SoE.pdf,2.0,6.0,12.0,18.0,25.0,32.0,2.6666666666666665,28.0,2.0,6.0,12.0,18.0,25.0,32.0,2.6666666666666665,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26035255.0,2015.0
PMID 26040499 a_Summary_SoE.pdf,1.0,1.0,1.0,2.0,2.0,3.0,0.25,180.0,1.0,1.0,1.0,2.0,2.0,3.0,0.25,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26040499.0,2015.0
PMID 26056177 a_Summary_SoE.pdf,1.0,7.0,18.0,34.0,44.0,53.0,4.416666666666667,21.0,,,,,,,,,,,,,,,,26056177.0,2015.0
PMID 26122726 a_Summary_SoE.pdf,1.0,1.0,3.0,4.0,5.0,6.0,0.5,0.0,1.0,13.0,15.0,16.0,17.0,18.0,1.5,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-1.0,26122726.0,2015.0
PMID 26159065 CT_Summary_SoE.pdf,1.0,2.0,5.0,8.0,10.0,12.0,1.0,21.0,1.0,2.0,5.0,8.0,10.0,12.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26159065.0,2015.0
PMID 26169611 a_Summary_SoE.pdf,1.0,5.0,9.0,14.0,15.0,16.0,1.3333333333333333,28.0,1.0,5.0,9.0,14.0,15.0,16.0,1.3333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26169611.0,2015.0
PMID 26206652 CT_Summary_SoE.pdf,1.0,9.0,9.0,9.0,9.0,9.0,0.75,0.0,1.0,9.0,9.0,9.0,9.0,9.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26206652.0,2015.0
PMID 26244877 a_Summary_SoE.pdf,2.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,2.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,84.0,0.0,1.0,3.0,4.0,4.0,4.0,0.3333333333333333,26244877.0,2015.0
PMID 26351350 a_Summary_SoE.pdf,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26351350.0,2015.0
PMID 26371143 a_Summary_SoE.pdf,2.0,7.0,18.0,35.0,52.0,71.0,5.916666666666667,21.0,2.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,21.0,0.0,2.0,5.0,9.0,13.0,18.0,1.5,26371143.0,2016.0
PMID 26377300 CT_Summary_SoE.pdf,1.0,2.0,3.0,5.0,6.0,8.0,0.6666666666666666,56.0,1.0,2.0,3.0,5.0,6.0,8.0,0.6666666666666666,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26377300.0,2015.0
PMID 26406148 a_Summary_SoE.pdf,2.0,3.0,7.0,13.0,20.0,27.0,2.25,28.0,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,1.0,3.0,6.0,10.0,13.0,1.0833333333333333,26406148.0,2015.0
PMID 26406150 a_Summary_SoE.pdf,1.0,3.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,1.0,3.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26406150.0,2015.0
PMID 26412349 a_Summary_SoE.pdf,2.0,2.0,5.0,6.0,7.0,8.0,0.6666666666666666,21.0,2.0,0.0,1.0,2.0,3.0,4.0,0.3333333333333333,0.0,0.0,2.0,4.0,4.0,4.0,4.0,0.3333333333333333,26412349.0,2015.0
PMID 26412456 a_Summary_SoE.pdf,1.0,4.0,8.0,14.0,21.0,28.0,2.3333333333333335,14.0,1.0,3.0,6.0,10.0,14.0,19.0,1.5833333333333333,21.0,0.0,1.0,2.0,4.0,7.0,9.0,0.7500000000000002,26412456.0,2015.0
PMID 26416999 a_Summary_SoE.pdf,2.0,2.0,5.0,8.0,9.0,10.0,0.8333333333333334,21.0,2.0,2.0,5.0,8.0,9.0,10.0,0.8333333333333334,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26416999.0,2015.0
PMID 26527790 a_Summary_SoE.pdf,2.0,18.0,36.0,38.0,39.0,41.0,3.4166666666666665,56.0,2.0,18.0,36.0,38.0,39.0,41.0,3.4166666666666665,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26527790.0,2015.0
PMID 26540028 a_Summary_SoE.pdf,1.0,2.0,3.0,4.0,5.0,6.0,0.5,30.0,1.0,2.0,3.0,4.0,5.0,6.0,0.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26540028.0,2016.0
PMID 26598744 a_Summary_SoE.pdf,2.0,3.0,5.0,7.0,8.0,9.0,0.75,46.0,2.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,0.0,-1.0,-2.0,-4.0,-7.0,-11.0,-0.9166666666666667,26598744.0,2016.0
PMID 26628478 a_Summary_SoE.pdf,2.0,2.0,5.0,9.0,11.0,13.0,1.0833333333333333,21.0,2.0,2.0,5.0,9.0,11.0,13.0,1.0833333333333333,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26628478.0,2016.0
PMID 26639149 a_Summary_SoE.pdf,1.0,3.0,7.0,13.0,17.0,20.0,1.6666666666666667,28.0,1.0,3.0,7.0,13.0,17.0,20.0,1.6666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26639149.0,2015.0
PMID 26655421 CT_Summary_SoE.pdf,1.0,6.0,13.0,21.0,24.0,27.0,2.25,28.0,1.0,6.0,13.0,21.0,24.0,27.0,2.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26655421.0,2016.0
PMID 26673811 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,21.0,0.0,-3.0,-8.0,-17.0,-26.0,-35.0,-2.916666666666667,26673811.0,2016.0
PMID 26703889 a_Summary_SoE.pdf,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26703889.0,2016.0
PMID 26712084b_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712084.0,2016.0
PMID 26811519 a_Summary_SoE.pdf,1.0,22.0,38.0,47.0,49.0,50.0,4.166666666666667,21.0,1.0,22.0,38.0,44.0,45.0,46.0,3.8333333333333335,28.0,0.0,0.0,0.0,3.0,4.0,4.0,0.3333333333333335,26811519.0,2016.0
PMID 26858335 a_Summary_SoE.pdf,1.0,5.0,13.0,26.0,39.0,52.0,4.333333333333333,7.0,1.0,5.0,13.0,26.0,39.0,52.0,4.333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26858335.0,2016.0
PMID 26884585 a_Summary_SoE.pdf,2.0,5.0,13.0,21.0,30.0,39.0,3.25,28.0,2.0,5.0,13.0,21.0,30.0,39.0,3.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26884585.0,2016.0
PMID 26933849 a_Summary_SoE.pdf,1.0,5.0,13.0,19.0,20.0,21.0,1.75,21.0,1.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,0.0,3.0,8.0,12.0,12.0,12.0,1.0,26933849.0,2016.0
PMID 26997579 a _Summary_SoE.pdf,1.0,2.0,2.0,2.0,2.0,2.0,0.16666666666666666,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26997579.0,2016.0
PMID 27044935 a_Summary_SoE.pdf,3.0,22.0,29.0,30.0,31.0,32.0,2.6666666666666665,7.0,3.0,22.0,42.0,43.0,44.0,45.0,3.75,7.0,0.0,0.0,-13.0,-13.0,-13.0,-13.0,-1.0833333333333335,27044935.0,2016.0
PMID 27119237 a_Summary_SoE.pdf,1.0,5.0,11.0,14.0,17.0,21.0,1.75,28.0,1.0,5.0,11.0,14.0,17.0,21.0,1.75,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27119237.0,2016.0
PMID 27264120 a_Summary_SoE.pdf,1.0,0.0,0.0,1.0,1.0,2.0,0.16666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27264120.0,2016.0
PMID 27354480 a_Summary_SoE.pdf,1.0,1.0,4.0,7.0,7.0,7.0,0.5833333333333334,28.0,1.0,1.0,4.0,7.0,7.0,7.0,0.5833333333333334,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27354480.0,2016.0
PMID 27458307 a_Summary_SoE.pdf,1.0,6.0,13.0,16.0,17.0,18.0,1.5,21.0,1.0,6.0,13.0,16.0,17.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27458307.0,2016.0
PMID 27458945 a_Summary_SoE.pdf,2.0,1.0,3.0,4.0,5.0,6.0,0.5,0.0,2.0,13.0,15.0,16.0,17.0,18.0,1.5,0.0,0.0,-12.0,-12.0,-12.0,-12.0,-12.0,-1.0,27458945.0,2016.0
PMID 27557302 a_Summary_SoE.pdf,1.0,8.0,21.0,36.0,39.0,43.0,3.5833333333333335,21.0,1.0,7.0,18.0,33.0,36.0,40.0,3.3333333333333335,21.0,0.0,1.0,3.0,3.0,3.0,3.0,0.25,27557302.0,2016.0
PMID 27569442 CT_Summary_SoE.pdf,2.0,4.0,15.0,34.0,52.0,56.0,4.666666666666667,28.0,2.0,4.0,15.0,31.0,38.0,41.0,3.4166666666666665,35.0,0.0,0.0,0.0,3.0,14.0,15.0,1.2500000000000004,27569442.0,2016.0
PMID 27705267 a_Summary_SoE.pdf,2.0,5.0,11.0,17.0,20.0,24.0,2.0,28.0,2.0,5.0,11.0,17.0,20.0,24.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27705267.0,2016.0
PMID 27717299 a_Summary_SoE.pdf,1.0,5.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,1.0,5.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27717299.0,2016.0
PMID 27717303 a_Summary_SoE.pdf,2.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,2.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27717303.0,2016.0
PMID 27718781 a_Summary_SoE.pdf,2.0,2.0,4.0,6.0,8.0,10.0,0.8333333333333334,42.0,2.0,2.0,4.0,6.0,8.0,10.0,0.8333333333333334,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27718781.0,2016.0
PMID 27718784 a_Summary_SoE.pdf,2.0,3.0,7.0,13.0,20.0,27.0,2.25,14.0,2.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,7.0,0.0,-2.0,-6.0,-13.0,-19.0,-26.0,-2.166666666666667,27718784.0,2016.0
PMID 27731748 a_Summary_SoE.pdf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27731748.0,2017.0
PMID 27787547 a_Summary_SoE.pdf,1.0,5.0,13.0,24.0,25.0,26.0,2.1666666666666665,7.0,1.0,5.0,13.0,24.0,25.0,26.0,2.1666666666666665,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27787547.0,2017.0
PMID 27908454 CT_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27908454.0,2016.0
PMID 27914822_Summary_SoE.pdf,1.0,4.0,8.0,9.0,10.0,10.0,0.8333333333333334,21.0,1.0,4.0,8.0,9.0,10.0,10.0,0.8333333333333334,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27914822.0,2017.0
PMID 27918724 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,10.0,13.0,1.0833333333333333,14.0,1.0,2.0,5.0,9.0,10.0,13.0,1.0833333333333333,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27918724.0,2017.0
PMID 27918780 a_Summary_SoE.pdf,1.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,1.0,4.0,7.0,11.0,15.0,20.0,1.6666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27918780.0,2017.0
PMID 27959613 a_Summary_SoE.pdf,1.0,3.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,1.0,3.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27959613.0,2016.0
PMID 27959700 a_Summary_SoE.pdf,1.0,4.0,7.0,10.0,12.0,14.0,1.1666666666666667,21.0,1.0,4.0,7.0,10.0,12.0,14.0,1.1666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27959700.0,2017.0
PMID 27979383 a_Summary_SoE.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27979383.0,2017.0
PMID 28029326 a_Summary_SoE.pdf,2.0,13.0,28.0,50.0,52.0,53.0,4.416666666666667,21.0,2.0,13.0,28.0,50.0,52.0,53.0,4.416666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28029326.0,2017.0
PMID 28030702 a_Summary_SoE.pdf,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28030702.0,2017.0
PMID 28034081 a_Summary_SoE.pdf,1.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,1.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28034081.0,2017.0
PMID 28056202 a_Summary_SoE.pdf,1.0,5.0,11.0,15.0,19.0,24.0,2.0,21.0,1.0,5.0,13.0,26.0,39.0,53.0,4.416666666666667,21.0,0.0,0.0,-2.0,-11.0,-20.0,-29.0,-2.416666666666667,28056202.0,2017.0
PMID 28076709 a_Summary_SoE.pdf,2.0,3.0,7.0,14.0,17.0,21.0,1.75,56.0,2.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,1.0,3.0,7.0,7.0,7.0,0.5833333333333333,28076709.0,2017.0
PMID 28125763 a_Summary_SoE.pdf,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28125763.0,2017.0
PMID 28126333 a_Summary_SoE.pdf,2.0,3.0,6.0,10.0,14.0,20.0,1.6666666666666667,21.0,2.0,3.0,6.0,10.0,14.0,20.0,1.6666666666666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28126333.0,2017.0
PMID 28135150 a_Summary_SoE.pdf,2.0,21.0,22.0,23.0,24.0,25.0,2.0833333333333335,7.0,2.0,1.0,2.0,3.0,4.0,5.0,0.4166666666666667,0.0,0.0,20.0,20.0,20.0,20.0,20.0,1.6666666666666667,28135150.0,2017.0
PMID 28139405 CT_Summary_SoE.pdf,1.0,5.0,11.0,19.0,21.0,23.0,1.9166666666666667,28.0,1.0,5.0,11.0,19.0,21.0,23.0,1.9166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28139405.0,2017.0
PMID 28140392 a_Summary_SoE.pdf,1.0,2.0,4.0,7.0,10.0,14.0,1.1666666666666667,28.0,1.0,3.0,7.0,13.0,20.0,27.0,2.25,28.0,0.0,-1.0,-3.0,-6.0,-10.0,-13.0,-1.0833333333333333,28140392.0,2017.0
PMID 28146658 a_Summary_SoE.pdf,2.0,22.0,37.0,38.0,39.0,40.0,3.3333333333333335,45.0,2.0,22.0,37.0,38.0,39.0,40.0,3.3333333333333335,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28146658.0,2017.0
PMID 28212060 a_Summary_SoE.pdf,2.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,2.0,5.0,9.0,13.0,17.0,22.0,1.8333333333333333,21.0,0.0,-3.0,-4.0,-4.0,-4.0,-4.0,-0.33333333333333326,28212060.0,2017.0
