filename,pmid,arm_name,pubmed_designation,evidence,abstract_states_roles,design_summary
PMID 25332243 a_Summary_SoE.pdf,25332243,Arm 1 (High-Dose Interferon Alpha-2b),control,High-dose interferon (IFN) for 1 year (HDI) is the US Food and Drug Administration-approved adjuvant therapy,True,High-dose interferon vs biochemotherapy as adjuvant therapy in high-risk melanoma (SWOG S0008)
PMID 25332243 a_Summary_SoE.pdf,25332243,Arm 2 (Biochemotherapy: CVD + IL-2 + IFN + G-CSF),intervention,We sought to determine whether a shorter course of biochemotherapy would be more effective,True,High-dose interferon vs biochemotherapy as adjuvant therapy in high-risk melanoma (SWOG S0008)
PMID 25332243 a_Summary_SoE.pdf,25332243,Arm 1 (One Year High-Dose Interferon Alpha-2b),control,High-dose interferon (IFN) for 1 year (HDI) is the US Food and Drug Administration-approved adjuvant therapy,True,High-dose interferon vs biochemotherapy as adjuvant therapy in high-risk melanoma (SWOG S0008)
PMID 25354103 a_Summary_SoE.pdf,25354103,Arm A (Single Umbilical Cord Blood Transplantation),control,we hypothesized that the greater numbers of hematopoietic cells in two units of cord blood would be associated with improved outcomes,True,Single-unit vs double-unit cord-blood transplantation for hematologic cancers
PMID 25354103 a_Summary_SoE.pdf,25354103,Arm B (Double Umbilical Cord Blood Transplantation),intervention,we hypothesized that the greater numbers of hematopoietic cells in two units of cord blood would be associated with improved outcomes after transplantation,True,Single-unit vs double-unit cord-blood transplantation for hematologic cancers
PMID 25366680 a_Summary_SoE.pdf,25366680,Arm 1 (Standard Fractionation + Cisplatin),control,We tested the efficacy and toxicity of cisplatin plus accelerated fractionation with a concomitant boost (AFX-C) versus standard fractionation (SFX),True,Accelerated vs standard fractionation radiotherapy with concurrent cisplatin in head and neck cancer (RTOG 0129)
PMID 25366680 a_Summary_SoE.pdf,25366680,Arm 2 (Accelerated Fractionation + Cisplatin),intervention,We tested the efficacy and toxicity of cisplatin plus accelerated fractionation with a concomitant boost (AFX-C) versus standard fractionation,True,Accelerated vs standard fractionation radiotherapy with concurrent cisplatin in head and neck cancer (RTOG 0129)
PMID 25422488 a_Summary_SoE.pdf,25422488,Arm 5 (AC q2w x 4 -> Paclitaxel q2w x 6),control,that paclitaxel once per week was superior to six cycles of paclitaxel once every 2 weeks,True,2x2 factorial of anthracycline and taxane schedules in high-risk early breast cancer; arms differ by paclitaxel schedule (SWOG S0221)
PMID 25422488 a_Summary_SoE.pdf,25422488,Arm 6 (AC q2w x 4 -> Paclitaxel weekly x 12),intervention,that paclitaxel once per week was superior to six cycles of paclitaxel once every 2 weeks,True,2x2 factorial of anthracycline and taxane schedules in high-risk early breast cancer; arms differ by paclitaxel schedule (SWOG S0221)
PMID 25470694 a_Summary_SoE.pdf,25470694,Arm B (Chemotherapy - Pemetrexed/Cisplatin or Pemetrexed/Carboplatin),control,Crizotinib was superior to standard first-line pemetrexed-plus-platinum chemotherapy,True,First-line crizotinib vs platinum-pemetrexed chemotherapy in ALK-positive NSCLC (PROFILE 1014)
PMID 25470694 a_Summary_SoE.pdf,25470694,Arm A (Crizotinib),intervention,The efficacy of the ALK inhibitor crizotinib as compared with standard chemotherapy as first-line treatment... is unknown,True,First-line crizotinib vs platinum-pemetrexed chemotherapy in ALK-positive NSCLC (PROFILE 1014)
PMID 25495490 a_Summary_SoE.pdf,25495490,Arm A (Tamoxifen alone),unresolved,,False,Adjuvant ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 25495490 a_Summary_SoE.pdf,25495490,Arm B (OFS plus Tamoxifen),unresolved,,False,Adjuvant ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 25495490 a_Summary_SoE.pdf,25495490,Arm C (OFS plus Exemestane),unresolved,,False,Adjuvant ovarian suppression in premenopausal breast cancer (abstract body not available)
PMID 25671254 a_Summary_SoE.pdf,25671254,Arm B (Placebo),control,we randomly assigned 261 patients to receive lenvatinib... and 131 patients to receive placebo,True,Lenvatinib vs placebo in radioiodine-refractory thyroid cancer (SELECT)
PMID 25671254 a_Summary_SoE.pdf,25671254,Arm A (Lenvatinib),intervention,"Lenvatinib, as compared with placebo, was associated with significant improvements in progression-free survival",True,Lenvatinib vs placebo in radioiodine-refractory thyroid cancer (SELECT)
PMID 25682602 a_Summary_SoE.pdf,25682602,Higher-dose prednisone (1 or 2 mg/kg/day),control,randomized to start treatment with prednisone at 1 mg/kg/day or 0.5 mg/kg/day... at 2 mg/kg/day or 1 mg/kg/day,True,Lower-dose vs standard-dose initial prednisone for acute graft-versus-host disease
PMID 25682602 a_Summary_SoE.pdf,25682602,Lower-dose prednisone (0.5 or 1 mg/kg/day),intervention,prednisone is effective and safe for patients with newly diagnosed acute graft-versus-host disease,True,Lower-dose vs standard-dose initial prednisone for acute graft-versus-host disease
PMID 25682602 a_Summary_SoE.pdf,25682602,Higher-dose prednisone (1 or 2 mg/kg/day),control,a 50% decrease in the initial dose of prednisone... would suffice to control graft-versus-host disease,True,Lower-dose vs standard-dose initial prednisone for acute graft-versus-host disease
PMID 25713428 a_Summary_SoE.pdf,25713428,Regimen I (Gemcitabine + Docetaxel + Placebo + G-CSF),control,randomly assigned to gemcitabine-docetaxel plus bevacizumab or gemcitabine-docetaxel plus placebo,True,Gemcitabine-docetaxel plus bevacizumab vs plus placebo in metastatic uterine leiomyosarcoma
PMID 25713428 a_Summary_SoE.pdf,25713428,Regimen II (Gemcitabine + Docetaxel + Bevacizumab + G-CSF),intervention,whether the addition of bevacizumab to gemcitabine-docetaxel increases progression-free survival,True,Gemcitabine-docetaxel plus bevacizumab vs plus placebo in metastatic uterine leiomyosarcoma
PMID 25779558 a_Summary_SoE.pdf,25779558,Arm 2 (Trastuzumab + Taxane),control,"PFS was inferior for lapatinib compared with trastuzumab, with a stratified hazard ratio (HR) of 1.37",True,Lapatinib vs trastuzumab plus taxane in HER2-positive advanced breast cancer (MA.31)
PMID 25779558 a_Summary_SoE.pdf,25779558,Arm 1 (Lapatinib + Taxane),intervention,The efficacy of lapatinib versus trastuzumab combined with taxanes in the first-line setting... is unknown,True,Lapatinib vs trastuzumab plus taxane in HER2-positive advanced breast cancer (MA.31)
PMID 25891173 a_Summary_SoE.pdf,25891173,Ipilimumab Q3W (3 mg/kg every 3 weeks for 4 doses),control,The immune checkpoint inhibitor ipilimumab is the standard-of-care treatment for patients with advanced melanoma,True,Pembrolizumab (every 2 or 3 weeks) vs ipilimumab in advanced melanoma (KEYNOTE-006)
PMID 25891173 a_Summary_SoE.pdf,25891173,MK-3475 Q3W (10 mg/kg every 3 weeks),intervention,the anti-PD-1 antibody pembrolizumab prolonged progression-free survival and overall survival... versus ipilimumab,True,Pembrolizumab (every 2 or 3 weeks) vs ipilimumab in advanced melanoma (KEYNOTE-006)
PMID 25891173 a_Summary_SoE.pdf,25891173,MK-3475 Q2W (10 mg/kg every 2 weeks),intervention,P<0.001 for both pembrolizumab regimens versus ipilimumab,True,Pembrolizumab (every 2 or 3 weeks) vs ipilimumab in advanced melanoma (KEYNOTE-006)
PMID 26027431 a_Summary_SoE.pdf,26027431,Arm C (Ipilimumab monotherapy),control,nivolumab alone or nivolumab plus ipilimumab was compared with ipilimumab alone,True,"Nivolumab, nivolumab plus ipilimumab, or ipilimumab alone in untreated melanoma (CheckMate 067)"
PMID 26027431 a_Summary_SoE.pdf,26027431,Arm A (Nivolumab monotherapy),intervention,nivolumab alone or combined with ipilimumab resulted in significantly longer progression-free survival than ipilimumab alone,True,"Nivolumab, nivolumab plus ipilimumab, or ipilimumab alone in untreated melanoma (CheckMate 067)"
PMID 26027431 a_Summary_SoE.pdf,26027431,Arm B (Nivolumab + Ipilimumab),intervention,nivolumab alone or combined with ipilimumab resulted in significantly longer progression-free survival than ipilimumab alone,True,"Nivolumab, nivolumab plus ipilimumab, or ipilimumab alone in untreated melanoma (CheckMate 067)"
PMID 26028407 a_Summary_SoE.pdf,26028407,Arm B (Docetaxel),control,evaluated the efficacy and safety of nivolumab... as compared with docetaxel in this patient population,True,Nivolumab vs docetaxel in advanced squamous-cell NSCLC (CheckMate 017)
PMID 26028407 a_Summary_SoE.pdf,26028407,Arm A (Nivolumab),intervention,"overall survival, response rate, and progression-free survival were significantly better with nivolumab than with docetaxel",True,Nivolumab vs docetaxel in advanced squamous-cell NSCLC (CheckMate 017)
PMID 26040499 a_Summary_SoE.pdf,26040499,Placebo (Q6M),unresolved,,False,Adjuvant denosumab vs placebo in breast cancer (ABCSG-18) (abstract body not available)
PMID 26040499 a_Summary_SoE.pdf,26040499,Denosumab (60mg Q6M),unresolved,,False,Adjuvant denosumab vs placebo in breast cancer (ABCSG-18) (abstract body not available)
PMID 26056177 a_Summary_SoE.pdf,26056177,VD (VELCADE and Dexamethasone),control,VTD and VMP did not appear to offer an advantage over VD in transplantation-ineligible patients,True,Comparison of three frontline bortezomib-based myeloma regimens (VD vs VTD vs VMP)
PMID 26056177 a_Summary_SoE.pdf,26056177,"VTD (VELCADE, Thalidomide, and Dexamethasone)",intervention,VTD and VMP did not appear to offer an advantage over VD,True,Comparison of three frontline bortezomib-based myeloma regimens (VD vs VTD vs VMP)
PMID 26056177 a_Summary_SoE.pdf,26056177,"VMP (VELCADE, Melphalan, and Prednisone)",intervention,VTD and VMP did not appear to offer an advantage over VD,True,Comparison of three frontline bortezomib-based myeloma regimens (VD vs VTD vs VMP)
PMID 26122726 a_Summary_SoE.pdf,26122726,Arm B (Radiosurgery + WBRT),unresolved,,False,Abstract describes filgrastim biosimilar vs reference; arm_names (radiosurgery) do not match abstract content
PMID 26122726 a_Summary_SoE.pdf,26122726,Arm A (Radiosurgery alone),unresolved,,False,Abstract describes filgrastim biosimilar vs reference; arm_names (radiosurgery) do not match abstract content
PMID 26206652 CT_Summary_SoE.pdf,26206652,Group 1 (Standard fluid management),control,randomized to GDT using stroke volume variation as an end point or to standard perioperative resuscitation,True,Goal-directed fluid therapy vs standard resuscitation after liver resection
PMID 26206652 CT_Summary_SoE.pdf,26206652,Group 2 (Goal-directed fluid therapy - GDT),intervention,randomized to GDT using stroke volume variation as an end point or to standard perioperative resuscitation,True,Goal-directed fluid therapy vs standard resuscitation after liver resection
PMID 26351350 a_Summary_SoE.pdf,26351350,Arm F: GM-CSF Placebo (HLA-A2-),control,"HLA-A2-negative patients, GM-CSF or placebo",True,"Placebo-controlled trial of GM-CSF, peptide vaccination, both, or placebo in resected melanoma"
PMID 26351350 a_Summary_SoE.pdf,26351350,Arm D: GM-CSF Placebo + Peptide Placebo (HLA-A2+),control,"HLA-A2-positive patients were randomly assigned to receive GM-CSF, PV, both, or placebo",True,"Placebo-controlled trial of GM-CSF, peptide vaccination, both, or placebo in resected melanoma"
PMID 26351350 a_Summary_SoE.pdf,26351350,Arm E: GM-CSF (HLA-A2-),intervention,evaluate the effect of granulocyte-macrophage colony-stimulating factor (GM-CSF) and peptide vaccination,True,"Placebo-controlled trial of GM-CSF, peptide vaccination, both, or placebo in resected melanoma"
PMID 26351350 a_Summary_SoE.pdf,26351350,Arm A: GM-CSF + Peptide Vaccination (HLA-A2+),intervention,"HLA-A2-positive patients were randomly assigned to receive GM-CSF, PV, both, or placebo",True,"Placebo-controlled trial of GM-CSF, peptide vaccination, both, or placebo in resected melanoma"
PMID 26351350 a_Summary_SoE.pdf,26351350,Arm B: GM-CSF Placebo + Peptide Vaccination (HLA-A2+),intervention,evaluate the effect of granulocyte-macrophage colony-stimulating factor (GM-CSF) and peptide vaccination (PV),True,"Placebo-controlled trial of GM-CSF, peptide vaccination, both, or placebo in resected melanoma"
PMID 26351350 a_Summary_SoE.pdf,26351350,Arm C: GM-CSF + Peptide Placebo (HLA-A2+),intervention,"HLA-A2-positive patients were randomly assigned to receive GM-CSF, PV, both, or placebo",True,"Placebo-controlled trial of GM-CSF, peptide vaccination, both, or placebo in resected melanoma"
PMID 26412349 a_Summary_SoE.pdf,26412349,Arm B (Hormonal Therapy Alone),unresolved,,False,"21-gene assay validation; abstract reports only the low-risk endocrine-therapy-alone group, not the randomized chemo comparison"
PMID 26412349 a_Summary_SoE.pdf,26412349,Arm C (Chemotherapy + Hormonal Therapy),unresolved,,False,"21-gene assay validation; abstract reports only the low-risk endocrine-therapy-alone group, not the randomized chemo comparison"
PMID 26673811 a_Summary_SoE.pdf,26673811,Arm B (Temsirolimus),control,primary hypothesis that ibrutinib compared with temsirolimus significantly improves progression-free survival,True,Ibrutinib vs temsirolimus in relapsed/refractory mantle-cell lymphoma
PMID 26673811 a_Summary_SoE.pdf,26673811,Arm A (Ibrutinib),intervention,primary hypothesis that ibrutinib compared with temsirolimus significantly improves progression-free survival,True,Ibrutinib vs temsirolimus in relapsed/refractory mantle-cell lymphoma
PMID 26712084b_Summary_SoE.pdf,26712084,Docetaxel 75 mg/m2 Q3W,control,"We assessed the efficacy of pembrolizumab for patients with previously treated, PD-L1-positive, advanced non-small-cell lung cancer",True,Pembrolizumab (two doses) vs docetaxel in previously treated PD-L1-positive NSCLC
PMID 26712084b_Summary_SoE.pdf,26712084,MK-3475 10 mg/kg Q3W,intervention,overall survival was significantly longer for pembrolizumab... 10 mg/kg versus docetaxel,True,Pembrolizumab (two doses) vs docetaxel in previously treated PD-L1-positive NSCLC
PMID 26712084b_Summary_SoE.pdf,26712084,MK-3475 2 mg/kg Q3W,intervention,Overall survival was significantly longer for pembrolizumab 2 mg/kg versus docetaxel,True,Pembrolizumab (two doses) vs docetaxel in previously treated PD-L1-positive NSCLC
PMID 26933849 a_Summary_SoE.pdf,26933849,Every-3-week Paclitaxel + Carboplatin,control,whether dose-dense weekly paclitaxel and carboplatin would prolong PFS as compared with paclitaxel and carboplatin administered every 3 weeks,True,Dose-dense weekly vs every-3-week paclitaxel plus carboplatin in ovarian cancer
PMID 26933849 a_Summary_SoE.pdf,26933849,Weekly Paclitaxel + Carboplatin,intervention,whether dose-dense weekly paclitaxel and carboplatin would prolong progression-free survival as compared with paclitaxel... every 3 weeks,True,Dose-dense weekly vs every-3-week paclitaxel plus carboplatin in ovarian cancer
PMID 26997579 a _Summary_SoE.pdf,26997579,Ondansetron + fosaprepitant + dexamethasone,control,APF530 versus the standard three-drug regimen provided superior control of delayed-phase CINV,True,"APF530 (extended-release granisetron) vs ondansetron, each in a three-drug regimen for delayed CINV"
PMID 26997579 a _Summary_SoE.pdf,26997579,APF530 (granisetron extended-release) + fosaprepitant + dexamethasone,intervention,We compared efficacy and safety of APF530 versus ondansetron for delayed CINV,True,"APF530 (extended-release granisetron) vs ondansetron, each in a three-drug regimen for delayed CINV"
PMID 27264120 a_Summary_SoE.pdf,27264120,Arm 2 (Placebo),control,"double-blind, placebo-controlled trial to assess the effect of the extended use of letrozole for an additional 5 years",True,Extended (additional 5 years) letrozole vs placebo as adjuvant aromatase-inhibitor therapy
PMID 27264120 a_Summary_SoE.pdf,27264120,Arm 2: Placebo (MA.17 Core Study),control,"double-blind, placebo-controlled trial to assess the effect of the extended use of letrozole",True,Extended (additional 5 years) letrozole vs placebo as adjuvant aromatase-inhibitor therapy
PMID 27264120 a_Summary_SoE.pdf,27264120,Arm 1 (Letrozole),intervention,to assess the effect of the extended use of letrozole for an additional 5 years,True,Extended (additional 5 years) letrozole vs placebo as adjuvant aromatase-inhibitor therapy
PMID 27264120 a_Summary_SoE.pdf,27264120,Arm 1: Letrozole (MA.17 Core Study),intervention,to assess the effect of the extended use of letrozole for an additional 5 years,True,Extended (additional 5 years) letrozole vs placebo as adjuvant aromatase-inhibitor therapy
PMID 27458945 a_Summary_SoE.pdf,27458945,Arm B (Radiosurgery + Whole Brain Radiation Therapy),control,"WBRT significantly improves tumor control in the brain after stereotactic radiosurgery, yet... its role... remains controversial",True,De-escalation: stereotactic radiosurgery alone vs SRS plus whole-brain radiotherapy (cognitive endpoint)
PMID 27458945 a_Summary_SoE.pdf,27458945,Arm A (Radiosurgery alone),intervention,"for patients with 1 to 3 brain metastases amenable to radiosurgery, SRS alone may be a preferred strategy",True,De-escalation: stereotactic radiosurgery alone vs SRS plus whole-brain radiotherapy (cognitive endpoint)
PMID 27569442 CT_Summary_SoE.pdf,27569442,Arm A & C (MAP - Control),control,Comparison of MAPIE versus MAP in patients with a poor response to preoperative chemotherapy,False,MAPIE vs MAP for poor-responder osteosarcoma (only title available; no abstract body)
PMID 27569442 CT_Summary_SoE.pdf,27569442,Arm B (MAP + Pegylated Interferon alfa-2b),unresolved,,False,MAPIE vs MAP for poor-responder osteosarcoma (only title available; no abstract body)
PMID 27569442 CT_Summary_SoE.pdf,27569442,Arm D (MAP + Ifosfamide/Etoposide),intervention,Comparison of MAPIE versus MAP in patients with a poor response to preoperative chemotherapy,False,MAPIE vs MAP for poor-responder osteosarcoma (only title available; no abstract body)
PMID 27717299 a_Summary_SoE.pdf,27717299,Placebo,control,evaluate the efficacy of niraparib versus placebo as maintenance treatment,True,Niraparib vs placebo maintenance in platinum-sensitive recurrent ovarian cancer
PMID 27717299 a_Summary_SoE.pdf,27717299,Niraparib,intervention,evaluate the efficacy of niraparib versus placebo as maintenance treatment,True,Niraparib vs placebo maintenance in platinum-sensitive recurrent ovarian cancer
PMID 27717299 a_Summary_SoE.pdf,27717299,Niraparib (Food Effect Sub-Study),intervention,evaluate the efficacy of niraparib versus placebo as maintenance treatment,True,Niraparib vs placebo maintenance in platinum-sensitive recurrent ovarian cancer
PMID 27908454 CT_Summary_SoE.pdf,27908454,Arm B (Anastrozole 1 mg),control,"Fulvestrant... is a preferred treatment option... compared with a third-generation aromatase inhibitor, a standard of care",True,Fulvestrant vs anastrozole (standard-of-care aromatase inhibitor) in endocrine-naive advanced breast cancer
PMID 27908454 CT_Summary_SoE.pdf,27908454,Arm A (Fulvestrant 500 mg),intervention,whether the selective oestrogen receptor degrader fulvestrant could improve progression-free survival compared with anastrozole,True,Fulvestrant vs anastrozole (standard-of-care aromatase inhibitor) in endocrine-naive advanced breast cancer
PMID 27914822_Summary_SoE.pdf,27914822,Observation Arm (Control),control,randomly assigned (1:1) to receive sodium thiosulfate or observation (control group),True,Sodium thiosulfate vs observation to prevent cisplatin-induced hearing loss in children
PMID 27914822_Summary_SoE.pdf,27914822,STS Arm (Sodium Thiosulfate),intervention,randomly assigned (1:1) to receive sodium thiosulfate or observation (control group),True,Sodium thiosulfate vs observation to prevent cisplatin-induced hearing loss in children
PMID 27918724 a_Summary_SoE.pdf,27918724,Arm B (Placebo),control,"received (1:1:1) placebo, telotristat ethyl 250 mg, or telotristat ethyl 500 mg three times per day",True,Telotristat ethyl (250 or 500 mg) vs placebo added to somatostatin analog for carcinoid syndrome
PMID 27918724 a_Summary_SoE.pdf,27918724,Arm A (Telotristat etiprate 250 mg or 500 mg tid),intervention,Estimated differences in BM frequency per day versus placebo averaged over 12 weeks were -0.81 for telotristat ethyl 250 mg,True,Telotristat ethyl (250 or 500 mg) vs placebo added to somatostatin analog for carcinoid syndrome
PMID 27918724 a_Summary_SoE.pdf,27918724,Telotristat etiprate 500 mg tid,intervention,-0.69 for telotristat ethyl 500 mg (P < .001),True,Telotristat ethyl (250 or 500 mg) vs placebo added to somatostatin analog for carcinoid syndrome
PMID 28030702 a_Summary_SoE.pdf,28030702,Arm A (Zoledronic acid every 4 weeks),control,whether zoledronic acid administered every 12 weeks is noninferior to zoledronic acid administered every 4 weeks,True,De-escalation: zoledronic acid every 12 weeks vs standard every 4 weeks in bone metastases
PMID 28030702 a_Summary_SoE.pdf,28030702,Arm B (Zoledronic acid every 12 weeks),intervention,whether zoledronic acid administered every 12 weeks is noninferior to zoledronic acid administered every 4 weeks,True,De-escalation: zoledronic acid every 12 weeks vs standard every 4 weeks in bone metastases
PMID 28030702 a_Summary_SoE.pdf,28030702,Arm B (Zoledronic acid 4 mg IV every 12 weeks),intervention,use of zoledronic acid every 12 weeks compared with the standard dosing interval of every 4 weeks,True,De-escalation: zoledronic acid every 12 weeks vs standard every 4 weeks in bone metastases
PMID 28056202 a_Summary_SoE.pdf,28056202,Arm A (Trastuzumab + Taxane),control,"randomly assigned 1:1:1 to control (trastuzumab plus taxane), T-DM1 plus placebo... or T-DM1 plus pertuzumab",True,"MARIANNE: T-DM1, or T-DM1+pertuzumab, vs trastuzumab plus taxane (control) in HER2+ breast cancer"
PMID 28056202 a_Summary_SoE.pdf,28056202,Arm B (Trastuzumab emtansine + Pertuzumab),intervention,Neither experimental arm showed PFS superiority to trastuzumab plus taxane,True,"MARIANNE: T-DM1, or T-DM1+pertuzumab, vs trastuzumab plus taxane (control) in HER2+ breast cancer"
PMID 28056202 a_Summary_SoE.pdf,28056202,Arm C (Trastuzumab emtansine + Pertuzumab-placebo),intervention,T-DM1 and T-DM1 plus pertuzumab showed noninferior PFS compared with trastuzumab plus taxane,True,"MARIANNE: T-DM1, or T-DM1+pertuzumab, vs trastuzumab plus taxane (control) in HER2+ breast cancer"
PMID 28125763 a_Summary_SoE.pdf,28125763,Arm A (Zometa 4 mg every 4 weeks),control,whether zoledronic acid every 12 weeks was noninferior to zoledronic acid every 4 weeks,True,De-escalation: zoledronic acid every 12 weeks vs every 4 weeks in breast cancer bone metastases (OPTIMIZE-2)
PMID 28125763 a_Summary_SoE.pdf,28125763,Arm B (Zometa 4 mg every 12 weeks),intervention,whether zoledronic acid every 12 weeks was noninferior to zoledronic acid every 4 weeks,True,De-escalation: zoledronic acid every 12 weeks vs every 4 weeks in breast cancer bone metastases (OPTIMIZE-2)
PMID 28296618 a_Summary_SoE.pdf,28296618,Arm 1 (Short-course Radiation Therapy alone),control,the benefit of adding temozolomide to a shorter course of radiotherapy is unknown,True,Short-course radiotherapy plus temozolomide vs radiotherapy alone in elderly glioblastoma
PMID 28296618 a_Summary_SoE.pdf,28296618,Arm 2 (Short-course Radiation Therapy + Temozolomide),intervention,the addition of temozolomide to short-course radiotherapy resulted in longer survival than short-course radiotherapy alone,True,Short-course radiotherapy plus temozolomide vs radiotherapy alone in elderly glioblastoma
PMID 28384065 a_Summary_SoE.pdf,28384065,Arm 2 (Depot Octreotide Plus Interferon Alpha-2b),unresolved,,False,Octreotide plus bevacizumab vs octreotide plus interferon in advanced carcinoid; both framed as experimental additions
PMID 28384065 a_Summary_SoE.pdf,28384065,Arm 1 (Depot Octreotide Plus Bevacizumab),unresolved,,False,Octreotide plus bevacizumab vs octreotide plus interferon in advanced carcinoid; both framed as experimental additions
PMID 28438473 a_Summary_SoE.pdf,28438473,Arm I/V (No Surgery + Chemotherapy),control,Patients were randomly assigned (1:1) to standard chemotherapy (six 3-weekly cycles of paclitaxel... and carboplatin),True,GOG-0213 bevacizumab objective: chemotherapy plus bevacizumab vs standard chemotherapy (surgical objective ongoing/not reported)
PMID 28438473 a_Summary_SoE.pdf,28438473,Arm III/VII (Surgery + CT/GC),unresolved,,True,GOG-0213 bevacizumab objective: chemotherapy plus bevacizumab vs standard chemotherapy (surgical objective ongoing/not reported)
PMID 28438473 a_Summary_SoE.pdf,28438473,Arm IV/VIII (Surgery + Chemotherapy + Bevacizumab),unresolved,,True,GOG-0213 bevacizumab objective: chemotherapy plus bevacizumab vs standard chemotherapy (surgical objective ongoing/not reported)
PMID 28438473 a_Summary_SoE.pdf,28438473,Arm II (Carboplatin + Paclitaxel + Bevacizumab),intervention,the same chemotherapy regimen plus bevacizumab... every 3 weeks and continued as maintenance,True,GOG-0213 bevacizumab objective: chemotherapy plus bevacizumab vs standard chemotherapy (surgical objective ongoing/not reported)
PMID 28438473 a_Summary_SoE.pdf,28438473,Arm IV (Surgery + Carboplatin + Paclitaxel + Bevacizumab),unresolved,,True,GOG-0213 bevacizumab objective: chemotherapy plus bevacizumab vs standard chemotherapy (surgical objective ongoing/not reported)
PMID 28492898 CT_Summary_SoE.pdf,28492898,Arm B (Placebo + Docetaxel),control,254 to receive selumetinib + docetaxel and 256 to receive placebo + docetaxel,True,Selumetinib plus docetaxel vs placebo plus docetaxel in KRAS-mutant NSCLC (SELECT-1)
PMID 28492898 CT_Summary_SoE.pdf,28492898,Arm A (Selumetinib + Docetaxel),intervention,compare efficacy of the... MEK inhibitor selumetinib + docetaxel with docetaxel alone as a second-line therapy,True,Selumetinib plus docetaxel vs placebo plus docetaxel in KRAS-mutant NSCLC (SELECT-1)
PMID 28632865 a_Summary_SoE.pdf,28632865,Arm A (Bevacizumab + FOLFOX/FOLFIRI),unresolved,,False,Cetuximab vs bevacizumab added to chemotherapy in KRAS wild-type colorectal cancer; optimal biologic unknown
PMID 28632865 a_Summary_SoE.pdf,28632865,Arm B (Cetuximab + FOLFOX/FOLFIRI),unresolved,,False,Cetuximab vs bevacizumab added to chemotherapy in KRAS wild-type colorectal cancer; optimal biologic unknown
PMID 28746153 CT_Summary_SoE.pdf,28746153,Intravenous Patient Controlled Analgesia (IVPCA),control,compare thoracic epidural analgesia (TEA) to intravenous patient-controlled analgesia (IV-PCA) for pain control,True,Thoracic epidural analgesia vs intravenous patient-controlled analgesia after HPB surgery
PMID 28746153 CT_Summary_SoE.pdf,28746153,Thoracic Epidural Analgesia (TEA),intervention,"In major HPB surgery, TEA provides a superior patient experience through improved pain control and less narcotic use",True,Thoracic epidural analgesia vs intravenous patient-controlled analgesia after HPB surgery
PMID 28809610 a_Summary_SoE.pdf,28809610,Arm B (Cabazitaxel 25 mg/m²),control,noninferiority of cabazitaxel 20 mg/m2 (C20) versus C25... the Currently Approved Dose (25 mg/m2),True,De-escalation: reduced-dose cabazitaxel 20 mg/m2 vs approved 25 mg/m2 in metastatic CRPC (PROSELICA)
PMID 28809610 a_Summary_SoE.pdf,28809610,Arm A (Cabazitaxel 20 mg/m²),intervention,assessed the noninferiority of cabazitaxel 20 mg/m2 (C20) versus C25 in postdocetaxel patients with mCRPC,True,De-escalation: reduced-dose cabazitaxel 20 mg/m2 vs approved 25 mg/m2 in metastatic CRPC (PROSELICA)
PMID 28809610 a_Summary_SoE.pdf,28809610,Arm B (Cabazitaxel 25 mg/m² + Prednisone),control,the Currently Approved Dose (25 mg/m2)... C20 maintained >=50% of the OS benefit of C25,True,De-escalation: reduced-dose cabazitaxel 20 mg/m2 vs approved 25 mg/m2 in metastatic CRPC (PROSELICA)
PMID 28891423 a_Summary_SoE.pdf,28891423,Arm A (Ipilimumab 10 mg/kg + Nivolumab Placebo),control,"In the United States, ipilimumab has also been approved as adjuvant therapy for melanoma",True,Adjuvant nivolumab vs ipilimumab (approved adjuvant comparator) in resected stage III/IV melanoma
PMID 28891423 a_Summary_SoE.pdf,28891423,Arm B (Nivolumab 3 mg/kg + Ipilimumab Placebo),intervention,determine the efficacy of nivolumab versus ipilimumab for adjuvant therapy in patients with resected advanced melanoma,True,Adjuvant nivolumab vs ipilimumab (approved adjuvant comparator) in resected stage III/IV melanoma
PMID 28891423 a_Summary_SoE.pdf,28891423,Arm B (Nivolumab 3 mg/kg),intervention,determine the efficacy of nivolumab versus ipilimumab for adjuvant therapy,True,Adjuvant nivolumab vs ipilimumab (approved adjuvant comparator) in resected stage III/IV melanoma
PMID 28935843 a_Summary_SoE.pdf,28935843,Rituximab IV plus CHOP,control,Intravenous rituximab plus chemotherapy is standard treatment for diffuse large B-cell lymphoma,True,Subcutaneous vs intravenous (standard) rituximab plus CHOP in first-line DLBCL
PMID 28935843 a_Summary_SoE.pdf,28935843,Rituximab SC plus CHOP,intervention,A subcutaneous formulation of rituximab is expected to simplify and shorten drug preparation and administration,True,Subcutaneous vs intravenous (standard) rituximab plus CHOP in first-line DLBCL
PMID 29158011 CT_Summary_SoE.pdf,29158011,Arm A (Continuous Letrozole),control,Extended adjuvant intermittent letrozole versus continuous letrozole in postmenopausal women with breast cancer,False,"Extended adjuvant intermittent letrozole vs continuous letrozole (SOLE; only title available, no abstract body)"
